trip_id,start_time,end_time,bikeid,tripduration,from_station_id,from_station_name,to_station_id,to_station_name,usertype,gender,birthyear,tripduration_mins,trip_date,trip_day,trip_month,trip_hour,age,gender_cleaned,usertype_cleaned
22283787,2019-04-11 07:34:24 UTC,2019-04-11 07:53:54 UTC,5310,1170,49,Dearborn St & Monroe St,62,McCormick Place,Customer,Male,1957,19.5,2019-04-11,11,4,7,68,Male,Customer
22961358,2019-06-03 11:59:07 UTC,2019-06-03 12:09:59 UTC,706,652,89,Financial Pl & Ida B Wells Dr (Temp),168,Michigan Ave & 14th St,Subscriber,Female,1954,10.87,2019-06-03,3,6,11,71,Female,Subscriber
25098297,2019-09-23 06:10:20 UTC,2019-09-23 06:18:12 UTC,1294,472,321,Wabash Ave & 9th St,168,Michigan Ave & 14th St,Subscriber,Female,1954,7.87,2019-09-23,23,9,6,71,Female,Subscriber
25036585,2019-09-19 07:20:24 UTC,2019-09-19 07:30:00 UTC,2253,576,341,Adler Planetarium,273,Michigan Ave & 18th St,Subscriber,Male,1957,9.6,2019-09-19,19,9,7,68,Male,Subscriber
23125074,2019-06-11 19:44:06 UTC,2019-06-11 19:55:12 UTC,1023,666,202,Halsted St & 18th St,273,Michigan Ave & 18th St,Subscriber,Female,1959,11.1,2019-06-11,11,6,19,66,Female,Subscriber
22599640,2019-05-09 18:42:14 UTC,2019-05-09 18:59:26 UTC,2142,1032,43,Michigan Ave & Washington St,273,Michigan Ave & 18th St,Subscriber,Male,1957,17.2,2019-05-09,9,5,18,68,Male,Subscriber
23047541,2019-06-07 17:57:01 UTC,2019-06-07 18:10:32 UTC,1525,811,90,Millennium Park,273,Michigan Ave & 18th St,Subscriber,Male,1957,13.52,2019-06-07,7,6,17,68,Male,Subscriber
25447274,2019-10-16 18:01:18 UTC,2019-10-16 18:07:14 UTC,4996,356,59,Wabash Ave & Roosevelt Rd,273,Michigan Ave & 18th St,Subscriber,Female,1950,5.93,2019-10-16,16,10,18,75,Female,Subscriber
24210405,2019-08-06 14:03:13 UTC,2019-08-06 14:12:04 UTC,36,531,218,Wells St & 19th St,273,Michigan Ave & 18th St,Subscriber,Male,1951,8.85,2019-08-06,6,8,14,74,Male,Subscriber
22121397,2019-03-24 09:32:13 UTC,2019-03-24 09:40:54 UTC,858,521,195,Columbus Dr & Randolph St,623,Michigan Ave & 8th St,Subscriber,Female,1958,8.68,2019-03-24,24,3,9,67,Female,Subscriber
22965925,2019-06-03 16:46:46 UTC,2019-06-03 17:01:48 UTC,4427,902,100,Orleans St & Merchandise Mart Plaza,623,Michigan Ave & 8th St,Subscriber,Male,1958,15.03,2019-06-03,3,6,16,67,Male,Subscriber
22267420,2019-04-09 15:12:56 UTC,2019-04-09 15:24:20 UTC,5265,684,44,State St & Randolph St,623,Michigan Ave & 8th St,Subscriber,Male,2000,11.4,2019-04-09,9,4,15,25,Male,Subscriber
22521340,2019-05-04 07:18:58 UTC,2019-05-04 07:24:11 UTC,3325,313,195,Columbus Dr & Randolph St,45,Michigan Ave & Ida B Wells Dr,Subscriber,Male,1957,5.22,2019-05-04,4,5,7,68,Male,Subscriber
24902134,2019-09-11 18:26:38 UTC,2019-09-11 19:08:34 UTC,1915,2516,150,Fort Dearborn Dr & 31st St,45,Michigan Ave & Ida B Wells Dr,Customer,Male,2000,41.93,2019-09-11,11,9,18,25,Male,Customer
24707773,2019-08-31 18:09:58 UTC,2019-08-31 18:56:43 UTC,6241,2805,33,State St & Van Buren St,45,Michigan Ave & Ida B Wells Dr,Customer,Female,2001,46.75,2019-08-31,31,8,18,24,Female,Customer
25717370,2019-11-17 08:46:46 UTC,2019-11-17 08:49:26 UTC,3207,159,39,Wabash Ave & Adams St,45,Michigan Ave & Ida B Wells Dr,Subscriber,Male,1947,2.65,2019-11-17,17,11,8,78,Male,Subscriber
24076684,2019-07-31 14:17:59 UTC,2019-07-31 14:35:24 UTC,1889,1045,338,Calumet Ave & 18th St,284,Michigan Ave & Jackson Blvd,Subscriber,Male,1945,17.42,2019-07-31,31,7,14,80,Male,Subscriber
24894393,2019-09-11 13:12:30 UTC,2019-09-11 13:41:39 UTC,5109,1748,120,Wentworth Ave & Cermak Rd (Temp),284,Michigan Ave & Jackson Blvd,Subscriber,Male,2000,29.13,2019-09-11,11,9,13,25,Male,Subscriber
23402011,2019-06-27 11:32:18 UTC,2019-06-27 11:42:21 UTC,4633,603,191,Canal St & Monroe St (*),52,Michigan Ave & Lake St,Subscriber,Male,1929,10.05,2019-06-27,27,6,11,96,Male,Subscriber
22495202,2019-05-01 14:46:41 UTC,2019-05-01 14:51:12 UTC,5873,271,81,Daley Center Plaza,52,Michigan Ave & Lake St,Subscriber,Male,1958,4.52,2019-05-01,1,5,14,67,Male,Subscriber
23089448,2019-06-10 09:00:00 UTC,2019-06-10 09:13:33 UTC,4067,813,31,Franklin St & Chicago Ave,52,Michigan Ave & Lake St,Subscriber,Male,1957,13.55,2019-06-10,10,6,9,68,Male,Subscriber
21946958,2019-02-21 08:56:46 UTC,2019-02-21 09:05:55 UTC,1812,549,255,Indiana Ave & Roosevelt Rd,52,Michigan Ave & Lake St,Subscriber,Male,1959,9.15,2019-02-21,21,2,8,66,Male,Subscriber
24925096,2019-09-13 07:23:25 UTC,2019-09-13 07:31:10 UTC,3652,465,283,LaSalle St & Jackson Blvd,52,Michigan Ave & Lake St,Subscriber,Male,1958,7.75,2019-09-13,13,9,7,67,Male,Subscriber
21903803,2019-02-10 11:57:42 UTC,2019-02-10 12:05:37 UTC,6362,475,192,Canal St & Adams St,197,Michigan Ave & Madison St,Subscriber,Male,1950,7.92,2019-02-10,10,2,11,75,Male,Subscriber
25310910,2019-10-07 07:04:45 UTC,2019-10-07 07:10:44 UTC,1120,359,636,Orleans St & Hubbard St,197,Michigan Ave & Madison St,Subscriber,Male,1959,5.98,2019-10-07,7,10,7,66,Male,Subscriber
